,Assets,Industry,Returns,Volatility,Sharpe,Return over drawdown,Weights,Level
0,"['XLG Adj Close', 'VOT Adj Close', 'SPTI Adj Close', 'SGOL Adj Close', 'MBB Adj Close']","['Total', 'Total', 'Government', 'Precious Metals Gold', 'Government']",0.08,0.046690082,1.713425981,0.109104796,"[0.11518287722692086, 0.03705457617354265, 0.4000000000000022, 0.11962076819625876, 0.3281417784032755]",moderate conservative
0,"['PULS Adj Close', 'VGIT Adj Close', 'SOXX Adj Close', 'TLT Adj Close']","['Broad', 'Government', 'Semiconductors', 'Government']",0.08,0.04286468,1.866338459,0.151555947,"[0.38576987971185756, 0.39999999761789773, 0.11363882771195763, 0.10059129479749444]",moderate conservative
0,"['HYG Adj Close', 'VONG Adj Close', 'SPTI Adj Close', 'IEF Adj Close']","['Corporate', 'Total', 'Government', 'Government']",0.084145368,0.045178276,1.862518338,0.233038215,"[0.049659963273201824, 0.1317160616792963, 0.40000021374275346, 0.40000016020994844]",moderate conservative
0,"['XLK Adj Close', 'USFR Adj Close', 'SPTI Adj Close', 'ARKG Adj Close']","['Information Technology', 'Government', 'Government', 'Total']",0.097642645,0.058258318,1.676029252,0.548496676,"[0.12980035001782378, 0.40000009393328434, 0.39999999999995484, 0.07019955604892399]",moderate conservative
0,"['ICSH Adj Close', 'USFR Adj Close', 'XLG Adj Close', 'ARKG Adj Close']","['Broad', 'Government', 'Total', 'Total']",0.099510704,0.073430514,1.355168295,6.54E-11,"[0.39999999999314884, 0.4000001009437076, 0.04016009395530411, 0.15983980510871412]",moderate conservative
0,"['USFR Adj Close', 'QQQ Adj Close', 'AGGY Adj Close', 'TLT Adj Close']","['Government', 'Total', 'Broad', 'Government']",0.103183848,0.06733033,1.532501736,4.12E-10,"[0.4000000026608952, 0.2489386905368365, 0.09061408170238583, 0.26044722525296576]",moderate conservative
0,"['USFR Adj Close', 'ARKG Adj Close', 'SMH Adj Close', 'STIP Adj Close']","['Government', 'Total', 'Semiconductors', 'Government']",0.168026977,0.128260723,1.310042333,3.53E-12,"[0.4000000000001176, 0.29428548545271144, 0.020565699732399582, 0.28514881481508536]",moderate conservative
