,Assets,Industry,Returns,Volatility,Sharpe,Return over drawdown,Weights,Level
0,"['XLV Adj Close', 'IEF Adj Close', 'ARKG Adj Close', 'BND Adj Close']","['Health Care', 'Government', 'Total', 'Broad']",0.16231916354865922,0.10874266796440103,1.4926906483644256,1.3870656800918368e-07,"[0.18358482512159274, 0.3999999999999907, 0.19380549177830647, 0.2226096831001101]",aggressive
0,"['BIL Adj Close', 'ARKG Adj Close', 'BNDX Adj Close', 'FXL Adj Close']","['Government', 'Total', 'Broad', 'Information Technology']",0.17084952481537008,0.1331351351030075,1.2832790133362069,4.322564528536077e-11,"[0.4000000000010294, 0.29789680087721726, 0.26718159354771415, 0.03492160557401355]",aggressive
0,"['LMBS Adj Close', 'LQD Adj Close', 'ARKG Adj Close', 'XLK Adj Close']","['Broad', 'Corporate', 'Total', 'Information Technology']",0.24471459917041619,0.18992750326823465,1.2884632028506462,6.69045085999187e-09,"[0.4, 0.08917529109749318, 0.3947709148372136, 0.1160537940652932]",aggressive
0,"['BIV Adj Close', 'XLP Adj Close', 'ARKG Adj Close', 'VGT Adj Close']","['Broad', 'Consumer Staples', 'Total', 'Information Technology']",0.22897420737343288,0.16451377877389967,1.3918238890380406,6.493826432141248e-08,"[0.4000000000000008, 0.20677083671986615, 0.2818648895655945, 0.11136427371453907]",aggressive
0,"['SPIB Adj Close', 'VONG Adj Close', 'SPMB Adj Close', 'ARKG Adj Close']","['Corporate', 'Total', 'Government', 'Total']",0.23944009581654727,0.19101058032486373,1.2535436278415384,1.7571963182305694e-06,"[0.18951547598117743, 0.074851260820844, 0.3357981791873213, 0.39983508401065726]",aggressive
0,"['VONG Adj Close', 'IWP Adj Close', 'ARKG Adj Close', 'IAU Adj Close']","['Total', 'Total', 'Total', 'Precious Metals Gold']",0.3531474202806805,0.2800198663882506,1.2611513062828112,1.378572811461254e-10,"[0.39997799231635994, 0.025777594294422255, 0.4, 0.17424441338910113]",aggressive
