,Assets,Industry,Returns,Volatility,Sharpe,Return over drawdown,Weights,Level
0,"['QLTA Adj Close', 'TIP Adj Close', 'SMH Adj Close', 'BIL Adj Close']","['Corporate', 'Government', 'Semiconductors', 'Government']",0.12000000000104748,0.08339229948114828,1.438981785460596,4.992400715053691e-09,"[0.0948140783925415, 0.39999999999986646, 0.2187467183276886, 0.28643920327962896]",aggressive
0,"['SPLG Adj Close', 'SGOL Adj Close', 'IYH Adj Close', 'ARKG Adj Close']","['Total', 'Precious Metals Gold', 'Health Care', 'Total']",0.2765861187428066,0.2083989260864159,1.3271955088104235,0.25983810929331197,"[0.11966780932089587, 0.39999999999999986, 0.10319950791989131, 0.37713268275921286]",aggressive
0,"['IAGG Adj Close', 'ARKQ Adj Close', 'VGIT Adj Close', 'IXN Adj Close']","['Broad', 'Robotics & AI', 'Government', 'Information Technology']",0.12000000001629188,0.07279503218342467,1.6484641385132281,0.17327243520529811,"[0.36173119287676087, 0.210293967824513, 0.3999999999988197, 0.027974839298019343]",aggressive
0,"['ARKG Adj Close', 'SPTS Adj Close', 'VGSH Adj Close', 'PZA Adj Close']","['Total', 'Government', 'Government', 'Government']",0.12000000001149624,0.08131733877155269,1.4757000391837214,0.4036155329159068,"[0.19690344540770313, 0.3999999999890592, 0.3191619590267001, 0.08393459557596077]",aggressive
0,"['VGIT Adj Close', 'SPAB Adj Close', 'BLOK Adj Close', 'FHLC Adj Close']","['Government', 'Broad', 'Blockchain', 'Health Care']",0.12000000002126454,0.07541565495571273,1.5911815669005809,0.25519785245928794,"[0.40000000000181074, 0.3248919058498717, 0.16518226609858555, 0.10992582804933179]",aggressive
0,"['SPTI Adj Close', 'LQD Adj Close', 'VGSH Adj Close', 'QCLN Adj Close']","['Government', 'Corporate', 'Government', 'Renewable Energy']",0.1200000000009211,0.06474528565824296,1.8534167975463007,0.4049162672313089,"[0.3999999999845585, 0.050726715988320605, 0.3793973837601496, 0.1698759002665813]",aggressive
0,"['ARKG Adj Close', 'SPTI Adj Close', 'SCHO Adj Close', 'ACWI Adj Close']","['Total', 'Government', 'Government', 'Total']",0.12000000000486971,0.07454774880129893,1.6097065563270077,0.5737310370450106,"[0.17786175232346504, 0.3999999999971991, 0.3999997140534737, 0.022138533625217668]",aggressive
0,"['XLK Adj Close', 'LMBS Adj Close', 'IEF Adj Close', 'SIVR Adj Close', 'SMH Adj Close']","['Information Technology', 'Broad', 'Government', 'Precious Metals Silver', 'Semiconductors']",0.12000000000119335,0.07332830484376889,1.6364758500399237,0.3325601994605225,"[0.06792428467205573, 0.32961795238774844, 0.40000000000028807, 0.055216741142623954, 0.14724102179626788]",aggressive
0,"['GLD Adj Close', 'SOXX Adj Close', 'MGK Adj Close', 'IEI Adj Close']","['Precious Metals Gold', 'Semiconductors', 'Total', 'Government']",0.14334814156119335,0.09571444764871465,1.497664616812093,0.45282958215418323,"[0.3490732324776054, 0.13068005445619552, 0.12024671318015258, 0.39999999988850155]",aggressive
0,"['QCLN Adj Close', 'GLD Adj Close', 'SPMB Adj Close', 'IEI Adj Close']","['Renewable Energy', 'Precious Metals Gold', 'Government', 'Government']",0.1431496054875669,0.08519165280736019,1.6803243131256562,0.38147208629485485,"[0.17183561347557313, 0.244167801039681, 0.18399658548474507, 0.4000000000000019]",aggressive
0,"['IEF Adj Close', 'IEI Adj Close', 'VTIP Adj Close', 'ARKK Adj Close']","['Government', 'Government', 'Government', 'Total']",0.12000000000000532,0.07072338882527576,1.6967512727150122,0.376616998688424,"[0.4000001734261711, 0.4, 0.02605443664306298, 0.17394538993076616]",aggressive
0,"['SLV Adj Close', 'IEI Adj Close', 'FTEC Adj Close', 'IEF Adj Close']","['Precious Metals Silver', 'Government', 'Information Technology', 'Government']",0.12000000001421163,0.07135201961795251,1.6818024304951706,0.5906416413911986,"[0.05100222386090212, 0.3097595156747795, 0.23923825984473482, 0.4000000005898839]",aggressive
0,"['IEI Adj Close', 'MGC Adj Close', 'FTEC Adj Close', 'TLT Adj Close']","['Government', 'Total', 'Information Technology', 'Government']",0.12599813787111336,0.07886004745490165,1.5977436222463468,0.38768085623009196,"[0.400000000000094, 0.04622312426200876, 0.23098507044676173, 0.3227918052911467]",aggressive
0,"['IWF Adj Close', 'IEI Adj Close', 'GLD Adj Close', 'ARKG Adj Close']","['Total', 'Government', 'Precious Metals Gold', 'Total']",0.15529270330944842,0.10063247550411623,1.543166880587136,0.4241058041971404,"[0.14342533721190576, 0.40000000000000036, 0.3343303328944517, 0.12224432989364227]",aggressive
0,"['XLC Adj Close', 'IEI Adj Close', 'VGSH Adj Close', 'ARKG Adj Close']","['Communication Services', 'Government', 'Government', 'Total']",0.1200000000003859,0.0753071732664522,1.5934736997204944,0.6113645677902324,"[0.027869717145203685, 0.3999999999999441, 0.39529358296451217, 0.17683669989030448]",aggressive
0,"['SCHO Adj Close', 'IEI Adj Close', 'IGLB Adj Close', 'SGOL Adj Close', 'SMH Adj Close']","['Government', 'Government', 'Corporate', 'Precious Metals Gold', 'Semiconductors']",0.12000000000003361,0.07283438493761471,1.6475734655110763,0.5408982356398062,"[0.20063092369590088, 0.4000000000000498, 0.04156999303050577, 0.17875751243261384, 0.1790415708409296]",aggressive
0,"['SCHX Adj Close', 'IEI Adj Close', 'SOXX Adj Close', 'GLDM Adj Close']","['Total', 'Government', 'Semiconductors', 'Precious Metals Gold']",0.14627992960160555,0.09771604859936542,1.4969898158832786,0.4951563130628265,"[0.030476239101594246, 0.40000000084919374, 0.19319070281285505, 0.3763330572511771]",aggressive
