,open,high,low,close,Adj Close,Volume,RESULT,bearish_harami,bullish_harami,dark_cloud_cover,doji,dragonfly_doji,hanging_man,gravestone_doji,bearish_engulfing,bullish_engulfing,hammer,morning_star,morning_star_doji,piercing_pattern,rain_drop,star,shooting_star,time
0,14748.919921875,14769.572265625,14746.4111328125,14758.4013671875,14758.4013671875,0,False,,,,False,False,,False,,,False,,,,,,,2021-08-04 09:30:00-04:00
1,14755.021484375,14776.1357421875,14750.6943359375,14770.0771484375,14770.0771484375,100509084,False,False,False,False,False,False,,False,False,False,False,,,False,False,False,False,2021-08-04 09:35:00-04:00
2,14770.849609375,14783.5751953125,14768.673828125,14776.7236328125,14776.7236328125,90134834,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 09:40:00-04:00
3,14779.5078125,14787.2080078125,14771.900390625,14775.3056640625,14775.3056640625,73599966,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 09:45:00-04:00
4,14772.8876953125,14778.892578125,14753.1875,14759.9814453125,14759.9814453125,104997778,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 09:50:00-04:00
5,14761.681640625,14776.533203125,14758.1201171875,14775.271484375,14775.271484375,86627633,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 09:55:00-04:00
6,14776.5908203125,14778.4521484375,14762.0703125,14765.0986328125,14765.0986328125,75416338,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 10:00:00-04:00
7,14765.4287109375,14770.8408203125,14755.9931640625,14770.447265625,14770.447265625,68709597,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-04 10:05:00-04:00
8,14772.1806640625,14779.552734375,14760.80859375,14766.458984375,14766.458984375,74314475,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 10:10:00-04:00
9,14768.275390625,14769.05859375,14763.458984375,14765.1611328125,14765.1611328125,69273167,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 10:15:00-04:00
10,14763.8408203125,14763.8408203125,14750.6591796875,14753.8974609375,14753.8974609375,71627735,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 10:20:00-04:00
11,14755.908203125,14765.5341796875,14749.4140625,14754.478515625,14754.478515625,67879000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 10:25:00-04:00
12,14754.052734375,14754.23046875,14735.0673828125,14748.806640625,14748.806640625,66360000,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-04 10:30:00-04:00
13,14750.8251953125,14756.748046875,14746.9189453125,14746.9189453125,14746.9189453125,57184000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 10:35:00-04:00
14,14747.611328125,14758.880859375,14746.0947265625,14755.3779296875,14755.3779296875,53209000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 10:40:00-04:00
15,14755.478515625,14768.78125,14754.353515625,14765.01171875,14765.01171875,53813000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 10:45:00-04:00
16,14765.7041015625,14766.1494140625,14755.0146484375,14755.140625,14755.140625,49904000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-04 10:50:00-04:00
17,14755.7666015625,14761.72265625,14751.623046875,14760.853515625,14760.853515625,48632000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 10:55:00-04:00
18,14761.7275390625,14771.732421875,14761.3447265625,14770.2158203125,14770.2158203125,49599000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 11:00:00-04:00
19,14770.6240234375,14780.861328125,14768.5517578125,14777.943359375,14777.943359375,48162000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 11:05:00-04:00
20,14778.3076171875,14781.03515625,14772.091796875,14773.3681640625,14773.3681640625,44276000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 11:10:00-04:00
21,14772.8408203125,14774.6845703125,14765.9384765625,14765.9384765625,14765.9384765625,47388000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 11:15:00-04:00
22,14764.609375,14764.609375,14755.2685546875,14755.8486328125,14755.8486328125,46104000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 11:20:00-04:00
23,14756.7041015625,14759.5966796875,14751.197265625,14754.2421875,14754.2421875,45369000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 11:25:00-04:00
24,14755.0048828125,14765.341796875,14755.0048828125,14765.341796875,14765.341796875,36009000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 11:30:00-04:00
25,14766.9580078125,14766.9580078125,14742.4150390625,14744.77734375,14744.77734375,51492000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-04 11:35:00-04:00
26,14746.990234375,14749.783203125,14740.2734375,14743.4462890625,14743.4462890625,41006000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 11:40:00-04:00
27,14743.974609375,14757.8564453125,14743.974609375,14757.234375,14757.234375,39170000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-04 11:45:00-04:00
