Datetime,open,high,low,close,Adj Close,Volume,candlestick_pattern,candlestick_match_count
2021-08-03 09:30:00-04:00,14715.966796875,14721.19140625,14683.234375,14690.2666015625,14690.2666015625,0,NO_PATTERN,0.0
2021-08-03 09:35:00-04:00,14689.2744140625,14695.0947265625,14676.4345703125,14695.0947265625,14695.0947265625,94062254,NO_PATTERN,0.0
2021-08-03 09:40:00-04:00,14697.18359375,14706.044921875,14681.6826171875,14692.568359375,14692.568359375,89584223,NO_PATTERN,0.0
2021-08-03 09:45:00-04:00,14692.5,14708.8203125,14692.5,14698.009765625,14698.009765625,81550710,CDLENGULFING_Bull,1.0
2021-08-03 09:50:00-04:00,14694.6201171875,14694.6201171875,14651.5615234375,14651.5615234375,14651.5615234375,87191419,NO_PATTERN,0.0
2021-08-03 09:55:00-04:00,14648.2587890625,14648.2587890625,14629.55078125,14629.55078125,14629.55078125,73481895,NO_PATTERN,0.0
2021-08-03 10:00:00-04:00,14629.7822265625,14644.14453125,14628.865234375,14639.1025390625,14639.1025390625,70583870,NO_PATTERN,0.0
2021-08-03 10:05:00-04:00,14636.73046875,14637.7685546875,14585.3115234375,14585.3115234375,14585.3115234375,69952107,NO_PATTERN,0.0
2021-08-03 10:10:00-04:00,14585.1376953125,14596.951171875,14584.4892578125,14596.3994140625,14596.3994140625,74531881,NO_PATTERN,0.0
2021-08-03 10:15:00-04:00,14596.20703125,14615.9912109375,14590.3896484375,14615.9912109375,14615.9912109375,61856272,NO_PATTERN,0.0
2021-08-03 10:20:00-04:00,14618.2685546875,14648.728515625,14617.6640625,14648.728515625,14648.728515625,57416196,,
2021-08-03 10:25:00-04:00,14647.7119140625,14648.9775390625,14640.8818359375,14645.5029296875,14645.5029296875,54042566,CDLLONGLEGGEDDOJI_Bull,7.0
2021-08-03 10:30:00-04:00,14645.6923828125,14646.171875,14611.140625,14611.140625,14611.140625,54972000,,
2021-08-03 10:35:00-04:00,14610.619140625,14620.7587890625,14605.9501953125,14616.931640625,14616.931640625,51418000,CDLTHRUSTING_Bear,1.0
2021-08-03 10:40:00-04:00,14617.587890625,14631.1689453125,14612.8134765625,14612.8134765625,14612.8134765625,46122000,NO_PATTERN,0.0
2021-08-03 10:45:00-04:00,14612.244140625,14630.763671875,14598.861328125,14630.763671875,14630.763671875,50836000,CDLENGULFING_Bull,1.0
2021-08-03 10:50:00-04:00,14633.3125,14639.1318359375,14625.517578125,14626.1201171875,14626.1201171875,48527000,NO_PATTERN,0.0
2021-08-03 10:55:00-04:00,14625.2353515625,14629.2216796875,14621.9609375,14623.4873046875,14623.4873046875,45135000,CDLINVERTEDHAMMER_Bull,4.0
