,open,high,low,close,Adj Close,Volume,RESULT,bearish_harami,bullish_harami,dark_cloud_cover,doji,dragonfly_doji,hanging_man,gravestone_doji,bearish_engulfing,bullish_engulfing,hammer,morning_star,morning_star_doji,piercing_pattern,rain_drop,star,shooting_star,time
0,14762.623046875,14763.9140625,14744.7275390625,14752.91015625,14752.91015625,0,False,,,,False,False,,False,,,False,,,,,,,2021-08-02 09:30:00-04:00
1,14750.693359375,14750.693359375,14717.90625,14727.2802734375,14727.2802734375,80689087,False,False,False,False,False,False,,False,False,False,False,,,False,False,False,False,2021-08-02 09:35:00-04:00
2,14722.9423828125,14723.130859375,14703.8994140625,14703.8994140625,14703.8994140625,71825454,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:40:00-04:00
3,14703.953125,14716.2744140625,14697.958984375,14713.0,14713.0,74481739,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:45:00-04:00
4,14712.75,14712.75,14686.7265625,14707.76953125,14707.76953125,69515103,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-02 09:50:00-04:00
5,14709.2109375,14721.9013671875,14709.2109375,14719.8369140625,14719.8369140625,60234383,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:55:00-04:00
6,14720.5244140625,14729.125,14720.1435546875,14723.6640625,14723.6640625,66922545,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:00:00-04:00
7,14723.166015625,14723.34375,14700.48828125,14718.083984375,14718.083984375,58553796,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-02 10:05:00-04:00
8,14718.0400390625,14742.0830078125,14718.0400390625,14740.974609375,14740.974609375,57832532,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2021-08-02 10:10:00-04:00
9,14741.4150390625,14748.84375,14739.0791015625,14744.3876953125,14744.3876953125,61964341,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:15:00-04:00
10,14745.8369140625,14746.5908203125,14734.166015625,14734.166015625,14734.166015625,52102449,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-02 10:20:00-04:00
11,14735.1025390625,14740.2275390625,14733.1044921875,14735.9248046875,14735.9248046875,50983787,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:25:00-04:00
12,14737.498046875,14743.896484375,14729.541015625,14730.6474609375,14730.6474609375,44702876,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-02 10:30:00-04:00
13,14730.271484375,14737.1552734375,14729.4228515625,14736.0185546875,14736.0185546875,46245591,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:35:00-04:00
14,14734.90625,14741.4833984375,14731.7890625,14732.8310546875,14732.8310546875,43602000,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:40:00-04:00
15,14732.5322265625,14744.439453125,14727.3779296875,14743.1318359375,14743.1318359375,44479000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2021-08-02 10:45:00-04:00
16,14742.54296875,14752.88671875,14741.9580078125,14751.5048828125,14751.5048828125,41156000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:50:00-04:00
17,14752.3759765625,14753.1328125,14746.0185546875,14748.025390625,14748.025390625,38640000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:55:00-04:00
18,14749.1796875,14751.75390625,14741.0986328125,14751.75390625,14751.75390625,40607000,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-02 11:00:00-04:00
19,14751.7958984375,14760.53125,14751.7958984375,14759.7939453125,14759.7939453125,42679000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 11:05:00-04:00
20,14759.6181640625,14765.1650390625,14759.6181640625,14762.7197265625,14762.7197265625,39312000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 11:10:00-04:00
21,14763.0009765625,14769.279296875,14761.0517578125,14765.857421875,14765.857421875,41595000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 11:15:00-04:00
22,14764.939453125,14770.2353515625,14764.2421875,14767.0302734375,14767.0302734375,39858000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 11:20:00-04:00
23,14767.544921875,14767.544921875,14758.2587890625,14763.634765625,14763.634765625,37176000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-02 11:25:00-04:00
24,14765.0205078125,14767.6767578125,14760.6005859375,14762.1318359375,14762.1318359375,36218000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 11:30:00-04:00
25,14761.93359375,14770.1826171875,14761.361328125,14763.470703125,14763.470703125,36984000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 11:35:00-04:00
26,14764.3125,14767.630859375,14760.85546875,14763.111328125,14763.111328125,35711000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 11:40:00-04:00
27,14762.37890625,14766.0869140625,14760.9072265625,14762.3935546875,14762.3935546875,32434000,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 11:45:00-04:00
28,14762.607421875,14763.185546875,14749.46484375,14751.3310546875,14751.3310546875,32818000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-02 11:50:00-04:00
29,14752.4189453125,14754.490234375,14727.8115234375,14727.8115234375,14727.8115234375,29516000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 11:55:00-04:00
30,14727.8154296875,14727.8154296875,14709.9375,14716.451171875,14716.451171875,37594000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 12:00:00-04:00
31,14716.7265625,14717.865234375,14692.7802734375,14692.7802734375,14692.7802734375,32545000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 12:05:00-04:00
32,14692.4599609375,14708.123046875,14690.828125,14707.9697265625,14707.9697265625,30631000,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2021-08-02 12:10:00-04:00
33,14707.4072265625,14714.4072265625,14706.607421875,14714.4072265625,14714.4072265625,24881000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 12:15:00-04:00
34,14714.7724609375,14720.345703125,14707.232421875,14717.9833984375,14717.9833984375,32216000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2021-08-02 12:20:00-04:00
35,14718.125,14718.1474609375,14711.7939453125,14713.6220703125,14713.6220703125,24694000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-02 12:25:00-04:00
36,14712.8369140625,14723.7802734375,14711.568359375,14723.3701171875,14723.3701171875,29045000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2021-08-02 12:30:00-04:00
37,14723.1103515625,14730.5673828125,14721.990234375,14728.8388671875,14728.8388671875,22855000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 12:35:00-04:00
38,14728.8623046875,14734.1962890625,14726.427734375,14729.15625,14729.15625,26030000,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 12:40:00-04:00
39,14729.0791015625,14730.298828125,14722.4208984375,14725.2470703125,14725.2470703125,29503000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 12:45:00-04:00
40,14725.5126953125,14732.0712890625,14723.3525390625,14728.4853515625,14728.4853515625,25460000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 12:50:00-04:00
41,14728.0419921875,14728.9130859375,14719.3720703125,14723.5380859375,14723.5380859375,24313000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 12:55:00-04:00
42,14723.6533203125,14732.0673828125,14723.5556640625,14731.44140625,14731.44140625,24419000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 13:00:00-04:00
43,14731.3310546875,14732.927734375,14726.7529296875,14730.9404296875,14730.9404296875,26323000,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-02 13:05:00-04:00
44,14730.7685546875,14739.1767578125,14729.833984375,14736.14453125,14736.14453125,23684000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2021-08-02 13:10:00-04:00
45,14736.1396484375,14740.3486328125,14734.501953125,14738.9560546875,14738.9560546875,25870000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 13:15:00-04:00
46,14739.109375,14742.17578125,14737.8671875,14741.259765625,14741.259765625,22478000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 13:20:00-04:00
47,14741.40625,14742.7236328125,14735.12109375,14735.5126953125,14735.5126953125,29442000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-02 13:25:00-04:00
48,14736.3486328125,14740.1982421875,14732.6318359375,14739.685546875,14739.685546875,29169000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 13:30:00-04:00
49,14739.84375,14740.740234375,14729.8203125,14731.712890625,14731.712890625,27033000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-02 13:35:00-04:00
50,14731.541015625,14735.6767578125,14727.9951171875,14727.9951171875,14727.9951171875,24989000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 13:40:00-04:00
51,14727.85546875,14729.181640625,14722.4384765625,14724.00390625,14724.00390625,29335000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 13:45:00-04:00
52,14723.8974609375,14723.8974609375,14716.4833984375,14721.3076171875,14721.3076171875,22143000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 13:50:00-04:00
53,14721.0625,14726.2529296875,14719.78125,14723.75,14723.75,27128000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 13:55:00-04:00
54,14723.9833984375,14725.7177734375,14722.0166015625,14722.0166015625,14722.0166015625,26522000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 14:00:00-04:00
55,14721.830078125,14731.3564453125,14721.830078125,14727.23046875,14727.23046875,26239000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2021-08-02 14:05:00-04:00
56,14726.63671875,14732.142578125,14726.63671875,14731.330078125,14731.330078125,27223000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 14:10:00-04:00
57,14731.1875,14735.228515625,14731.1875,14734.740234375,14734.740234375,26052000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 14:15:00-04:00
58,14734.7294921875,14735.1416015625,14727.38671875,14727.4658203125,14727.4658203125,27855000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 14:20:00-04:00
59,14727.46484375,14727.46484375,14724.0361328125,14726.775390625,14726.775390625,25440000,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2021-08-02 14:25:00-04:00
60,14726.6875,14731.6533203125,14725.1259765625,14729.77734375,14729.77734375,26744000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2021-08-02 14:30:00-04:00
61,14729.9375,14732.85546875,14729.3974609375,14731.48828125,14731.48828125,26234000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 14:35:00-04:00
62,14731.6533203125,14732.736328125,14727.912109375,14732.1259765625,14732.1259765625,28446000,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-02 14:40:00-04:00
63,14732.1845703125,14733.1015625,14726.5869140625,14728.5234375,14728.5234375,24297000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-02 14:45:00-04:00
64,14728.5244140625,14732.384765625,14728.0048828125,14729.349609375,14729.349609375,23969000,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 14:50:00-04:00
65,14729.1630859375,14730.46875,14725.599609375,14727.318359375,14727.318359375,29132000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 14:55:00-04:00
66,14727.1337890625,14733.0263671875,14725.65234375,14731.3876953125,14731.3876953125,23238000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2021-08-02 15:00:00-04:00
67,14731.4453125,14732.3349609375,14721.884765625,14721.884765625,14721.884765625,29004000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-02 15:05:00-04:00
68,14722.5458984375,14723.5400390625,14717.3740234375,14717.83984375,14717.83984375,30660000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 15:10:00-04:00
69,14717.74609375,14719.94140625,14714.4072265625,14716.4931640625,14716.4931640625,29909000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2021-08-02 15:15:00-04:00
70,14716.435546875,14716.435546875,14705.6650390625,14706.0361328125,14706.0361328125,29428000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 15:20:00-04:00
71,14705.916015625,14705.916015625,14696.13671875,14696.4423828125,14696.4423828125,33139000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 15:25:00-04:00
72,14696.4833984375,14698.697265625,14689.876953125,14694.84375,14694.84375,41490000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 15:30:00-04:00
73,14695.3193359375,14698.302734375,14686.7587890625,14686.7587890625,14686.7587890625,42787000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 15:35:00-04:00
74,14685.953125,14686.7890625,14677.720703125,14677.89453125,14677.89453125,46055000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 15:40:00-04:00
75,14676.8876953125,14677.2607421875,14668.263671875,14669.3671875,14669.3671875,44334000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 15:45:00-04:00
76,14669.123046875,14680.70703125,14666.1533203125,14674.033203125,14674.033203125,80591000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 15:50:00-04:00
77,14673.189453125,14682.337890625,14672.095703125,14678.72265625,14678.72265625,91941000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 15:55:00-04:00
78,14715.966796875,14721.19140625,14683.234375,14690.2666015625,14690.2666015625,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 09:30:00-04:00
79,14689.2744140625,14695.0947265625,14676.4345703125,14695.0947265625,14695.0947265625,94062254,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-03 09:35:00-04:00
80,14697.18359375,14706.044921875,14681.6826171875,14692.568359375,14692.568359375,89584223,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 09:40:00-04:00
81,14692.5,14708.8203125,14692.5,14698.009765625,14698.009765625,81550710,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2021-08-03 09:45:00-04:00
82,14694.6201171875,14694.6201171875,14651.5615234375,14651.5615234375,14651.5615234375,87191419,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 09:50:00-04:00
83,14648.2587890625,14648.2587890625,14629.55078125,14629.55078125,14629.55078125,73481895,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 09:55:00-04:00
84,14629.7822265625,14644.14453125,14628.865234375,14639.1025390625,14639.1025390625,70583870,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 10:00:00-04:00
85,14636.73046875,14637.7685546875,14585.3115234375,14585.3115234375,14585.3115234375,69952107,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 10:05:00-04:00
86,14585.1376953125,14596.951171875,14584.4892578125,14596.3994140625,14596.3994140625,74531881,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 10:10:00-04:00
87,14596.20703125,14615.9912109375,14590.3896484375,14615.9912109375,14615.9912109375,61856272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 10:15:00-04:00
88,14618.2685546875,14648.728515625,14617.6640625,14648.728515625,14648.728515625,57416196,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 10:20:00-04:00
89,14647.7119140625,14648.9775390625,14640.8818359375,14645.5029296875,14645.5029296875,54042566,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 10:25:00-04:00
90,14645.6923828125,14646.171875,14611.140625,14611.140625,14611.140625,54972000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 10:30:00-04:00
91,14610.619140625,14620.7587890625,14605.9501953125,14616.931640625,14616.931640625,51418000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 10:35:00-04:00
92,14617.587890625,14631.1689453125,14612.8134765625,14612.8134765625,14612.8134765625,46122000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 10:40:00-04:00
93,14612.244140625,14630.763671875,14598.861328125,14630.763671875,14630.763671875,50836000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2021-08-03 10:45:00-04:00
94,14633.3125,14639.1318359375,14625.517578125,14626.1201171875,14626.1201171875,48527000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 10:50:00-04:00
95,14625.2353515625,14629.2216796875,14621.9609375,14623.4873046875,14623.4873046875,45135000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 10:55:00-04:00
96,14624.6318359375,14637.15234375,14624.6318359375,14628.349609375,14628.349609375,41435000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 11:00:00-04:00
97,14628.6259765625,14628.8642578125,14613.8779296875,14622.228515625,14622.228515625,38786000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-03 11:05:00-04:00
98,14621.248046875,14626.9013671875,14602.7705078125,14605.5791015625,14605.5791015625,41159000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 11:10:00-04:00
99,14605.6181640625,14613.837890625,14597.9375,14597.9375,14597.9375,38946000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 11:15:00-04:00
100,14598.4970703125,14605.7216796875,14597.310546875,14601.5927734375,14601.5927734375,34415000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 11:20:00-04:00
101,14602.130859375,14614.6064453125,14586.345703125,14614.033203125,14614.033203125,39753000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 11:25:00-04:00
102,14613.6474609375,14636.1064453125,14613.6474609375,14635.7314453125,14635.7314453125,36609000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 11:30:00-04:00
103,14635.87109375,14639.333984375,14635.083984375,14638.6435546875,14638.6435546875,36525000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 11:35:00-04:00
104,14638.1884765625,14685.181640625,14638.1884765625,14684.8349609375,14684.8349609375,40385000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 11:40:00-04:00
105,14684.2685546875,14698.85546875,14684.2685546875,14698.2705078125,14698.2705078125,39556000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 11:45:00-04:00
106,14699.6806640625,14707.2802734375,14694.8203125,14696.8271484375,14696.8271484375,32040000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 11:50:00-04:00
107,14698.1748046875,14719.0078125,14698.1748046875,14717.2666015625,14717.2666015625,32512000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 11:55:00-04:00
108,14719.6220703125,14725.306640625,14717.048828125,14725.1435546875,14725.1435546875,38072000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 12:00:00-04:00
109,14724.9951171875,14724.9951171875,14713.5205078125,14715.880859375,14715.880859375,28866000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 12:05:00-04:00
110,14715.724609375,14716.1708984375,14709.900390625,14709.900390625,14709.900390625,27135000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 12:10:00-04:00
111,14710.0634765625,14719.9189453125,14704.8310546875,14704.8310546875,14704.8310546875,33073000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 12:15:00-04:00
112,14705.384765625,14707.82421875,14699.46484375,14699.5595703125,14699.5595703125,28937000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 12:20:00-04:00
113,14699.2060546875,14700.244140625,14695.796875,14699.3466796875,14699.3466796875,28903000,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-03 12:25:00-04:00
114,14699.8642578125,14711.2822265625,14699.8642578125,14711.2822265625,14711.2822265625,28558000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2021-08-03 12:30:00-04:00
115,14711.625,14720.625,14711.625,14719.4970703125,14719.4970703125,28469000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 12:35:00-04:00
116,14719.6728515625,14720.5263671875,14708.4345703125,14711.251953125,14711.251953125,28117000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-03 12:40:00-04:00
117,14710.943359375,14715.4736328125,14708.6416015625,14714.896484375,14714.896484375,27920000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 12:45:00-04:00
118,14715.0751953125,14715.0751953125,14710.3193359375,14712.8525390625,14712.8525390625,24820000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 12:50:00-04:00
119,14714.1298828125,14728.7900390625,14714.1298828125,14728.21484375,14728.21484375,29299000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 12:55:00-04:00
120,14728.5029296875,14735.099609375,14728.5029296875,14734.94921875,14734.94921875,31145000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 13:00:00-04:00
121,14735.224609375,14741.1396484375,14735.2177734375,14738.6103515625,14738.6103515625,30690000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 13:05:00-04:00
122,14738.08203125,14738.185546875,14730.2568359375,14733.3232421875,14733.3232421875,31799000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-03 13:10:00-04:00
