Datetime,open,high,low,close,Adj Close,Volume,candlestick_pattern,candlestick_match_count,signal
2021-08-06 12:00:00+08:00,26206.75,26206.75,26206.75,26206.75,26206.75,0,CDLDOJISTAR_Bear,2.0,Sell
2021-08-06 13:00:00+08:00,26208.580078125,26220.439453125,26165.80078125,26190.279296875,26190.279296875,0,CDLENGULFING_Bear,1.0,Sell
2021-08-06 13:05:00+08:00,26190.279296875,26210.9609375,26185.25,26196.51953125,26196.51953125,0,NO_PATTERN,0.0,None
2021-08-06 13:10:00+08:00,26198.48046875,26223.33984375,26191.41015625,26223.33984375,26223.33984375,0,CDLCLOSINGMARUBOZU_Bull,2.0,Buy
2021-08-06 13:15:00+08:00,26224.7109375,26256.4296875,26216.76953125,26235.240234375,26235.240234375,0,NO_PATTERN,0.0,None
2021-08-06 13:20:00+08:00,26232.66015625,26238.359375,26222.990234375,26223.740234375,26223.740234375,0,CDLTASUKIGAP_Bull,1.0,Buy
2021-08-06 13:25:00+08:00,26223.740234375,26235.880859375,26207.16015625,26217.69921875,26217.69921875,0,CDLSPINNINGTOP_Bear,2.0,Sell
2021-08-06 13:30:00+08:00,26218.4296875,26276.869140625,26217.55078125,26276.259765625,26276.259765625,0,CDLBELTHOLD_Bull,4.0,Buy
2021-08-06 13:35:00+08:00,26275.900390625,26275.900390625,26130.1796875,26143.810546875,26143.810546875,0,CDLBELTHOLD_Bear,1.0,Sell
2021-08-06 13:40:00+08:00,26144.759765625,26194.259765625,26143.470703125,26187.150390625,26187.150390625,0,CDLBELTHOLD_Bull,1.0,Buy
2021-08-06 13:45:00+08:00,26184.08984375,26196.810546875,26168.23046875,26181.359375,26181.359375,0,CDLRICKSHAWMAN_Bull,8.0,Buy
2021-08-06 13:50:00+08:00,26180.0703125,26223.76953125,26175.369140625,26201.349609375,26201.349609375,0,CDLENGULFING_Bull,1.0,Buy
2021-08-06 13:55:00+08:00,26200.990234375,26215.91015625,26197.060546875,26205.44921875,26205.44921875,0,CDL3OUTSIDE_Bull,4.0,Buy
2021-08-06 14:00:00+08:00,26204.380859375,26204.380859375,26177.91015625,26200.310546875,26200.310546875,0,CDLLONGLEGGEDDOJI_Bull,6.0,Buy
2021-08-06 14:05:00+08:00,26199.080078125,26200.08984375,26179.640625,26182.16015625,26182.16015625,0,NO_PATTERN,0.0,None
2021-08-06 14:10:00+08:00,26183.779296875,26193.94921875,26171.4296875,26189.5,26189.5,0,CDLHIKKAKE_Bull,1.0,Buy
2021-08-06 14:15:00+08:00,26189.669921875,26199.560546875,26184.109375,26192.259765625,26192.259765625,0,CDLRICKSHAWMAN_Bull,5.0,Buy
2021-08-06 14:20:00+08:00,26195.470703125,26211.009765625,26192.130859375,26204.41015625,26204.41015625,0,CDLHIKKAKE_Bull,1.0,Buy
2021-08-06 14:25:00+08:00,26205.75,26218.5,26201.759765625,26203.369140625,26203.369140625,0,CDLLONGLEGGEDDOJI_Bull,3.0,Buy
2021-08-06 14:30:00+08:00,26205.23046875,26222.55078125,26201.779296875,26220.109375,26220.109375,0,CDLCLOSINGMARUBOZU_Bull,1.0,Buy
2021-08-06 14:35:00+08:00,26220.73046875,26233.560546875,26215.720703125,26222.259765625,26222.259765625,0,CDLRICKSHAWMAN_Bull,6.0,Buy
2021-08-06 14:40:00+08:00,26225.51953125,26227.140625,26208.44921875,26216.509765625,26216.509765625,0,CDLBELTHOLD_Bear,2.0,Sell
2021-08-06 14:45:00+08:00,26216.83984375,26228.810546875,26207.69921875,26224.51953125,26224.51953125,0,NO_PATTERN,0.0,None
2021-08-06 14:50:00+08:00,26224.279296875,26236.33984375,26215.30078125,26226.6796875,26226.6796875,0,CDLHIGHWAVE_Bull,2.0,Buy
2021-08-06 14:55:00+08:00,26226.44921875,26238.490234375,26223.30078125,26229.119140625,26229.119140625,0,CDLSPINNINGTOP_Bull,1.0,Buy
2021-08-06 15:00:00+08:00,26233.19921875,26236.849609375,26223.330078125,26231.73046875,26231.73046875,0,CDLRICKSHAWMAN_Bull,5.0,Buy
2021-08-06 15:05:00+08:00,26230.630859375,26236.2890625,26221.25,26229.439453125,26229.439453125,0,CDLRICKSHAWMAN_Bull,6.0,Buy
2021-08-06 15:10:00+08:00,26231.359375,26232.830078125,26209.5,26213.2109375,26213.2109375,0,CDLBELTHOLD_Bear,1.0,Sell
2021-08-06 15:15:00+08:00,26212.76953125,26219.140625,26199.51953125,26215.890625,26215.890625,0,CDLSPINNINGTOP_Bull,1.0,Buy
2021-08-06 15:20:00+08:00,26217.310546875,26220.830078125,26198.3203125,26200.740234375,26200.740234375,0,CDLENGULFING_Bear,1.0,Sell
2021-08-06 15:25:00+08:00,26200.2890625,26203.7109375,26179.83984375,26188.630859375,26188.630859375,0,CDL3OUTSIDE_Bear,1.0,Sell
2021-08-06 15:30:00+08:00,26188.080078125,26203.470703125,26177.380859375,26179.98046875,26179.98046875,0,NO_PATTERN,0.0,None
2021-08-06 15:35:00+08:00,26180.01953125,26192.580078125,26175.390625,26187.869140625,26187.869140625,0,NO_PATTERN,0.0,None
2021-08-06 15:40:00+08:00,26188.01953125,26195.83984375,26174.279296875,26189.650390625,26189.650390625,0,CDLRICKSHAWMAN_Bull,6.0,Buy
2021-08-06 15:45:00+08:00,26188.560546875,26192.509765625,26177.119140625,26185.41015625,26185.41015625,0,CDLXSIDEGAP3METHODS_Bull,2.0,Buy
2021-08-06 15:50:00+08:00,26182.9296875,26201.94921875,26179.380859375,26201.94921875,26201.94921875,0,CDLCLOSINGMARUBOZU_Bull,3.0,Buy
2021-08-06 15:55:00+08:00,26199.640625,26208.140625,26192.810546875,26201.26953125,26201.26953125,0,CDLRICKSHAWMAN_Bull,7.0,Buy
