,open,high,low,close,Adj Close,Volume,RESULT,bearish_harami,bullish_harami,dark_cloud_cover,doji,dragonfly_doji,hanging_man,gravestone_doji,bearish_engulfing,bullish_engulfing,hammer,morning_star,morning_star_doji,piercing_pattern,rain_drop,star,shooting_star,time
0,14762.623046875,14763.9140625,14751.5634765625,14755.0029296875,14755.0029296875,27053711,False,,,,False,False,,False,,,False,,,,,,,2021-08-02 09:30:00-04:00
1,14757.8330078125,14759.662109375,14744.7275390625,14746.5537109375,14746.5537109375,41207219,False,False,False,False,False,False,,False,False,False,False,,,False,False,False,False,2021-08-02 09:32:00-04:00
2,14748.71875,14752.91015625,14737.7109375,14737.7109375,14737.7109375,33786135,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:34:00-04:00
3,14733.5625,14733.5625,14719.5703125,14719.5703125,14719.5703125,34166478,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:36:00-04:00
4,14717.90625,14730.3876953125,14717.90625,14727.2802734375,14727.2802734375,29133238,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2021-08-02 09:38:00-04:00
5,14722.9423828125,14723.130859375,14710.1474609375,14716.791015625,14716.791015625,30631329,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:40:00-04:00
6,14717.6171875,14719.05859375,14711.833984375,14711.833984375,14711.833984375,27367966,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:42:00-04:00
7,14707.1787109375,14708.517578125,14697.958984375,14705.5361328125,14705.5361328125,29113463,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2021-08-02 09:44:00-04:00
8,14706.42578125,14716.2744140625,14706.42578125,14713.7041015625,14713.7041015625,29620820,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:46:00-04:00
9,14712.5263671875,14713.98828125,14706.8056640625,14713.0,14713.0,29573615,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-02 09:48:00-04:00
10,14712.75,14712.75,14691.537109375,14692.267578125,14692.267578125,28616990,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:50:00-04:00
11,14694.1171875,14699.3408203125,14686.7265625,14699.3408203125,14699.3408203125,28786982,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:52:00-04:00
12,14701.7392578125,14714.57421875,14701.7392578125,14714.57421875,14714.57421875,23549307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:54:00-04:00
13,14714.287109375,14718.4658203125,14714.287109375,14717.3896484375,14717.3896484375,24630140,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:56:00-04:00
14,14716.748046875,14721.9013671875,14715.6455078125,14719.8369140625,14719.8369140625,24166067,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 09:58:00-04:00
15,14720.5244140625,14729.125,14720.1435546875,14728.259765625,14728.259765625,27092020,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:00:00-04:00
16,14724.2578125,14729.0673828125,14722.578125,14725.751953125,14725.751953125,25334703,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:02:00-04:00
17,14725.162109375,14726.7783203125,14713.1171875,14713.1171875,14713.1171875,27532947,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:04:00-04:00
18,14710.2880859375,14710.798828125,14700.48828125,14704.7392578125,14704.7392578125,22248278,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:06:00-04:00
19,14704.11328125,14719.2041015625,14704.11328125,14718.083984375,14718.083984375,23268393,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2021-08-02 10:08:00-04:00
20,14718.0400390625,14733.583984375,14718.0400390625,14733.22265625,14733.22265625,24159806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:10:00-04:00
21,14732.357421875,14741.107421875,14732.357421875,14738.8955078125,14738.8955078125,23629742,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:12:00-04:00
22,14739.78125,14745.2041015625,14737.388671875,14745.2041015625,14745.2041015625,22018635,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:14:00-04:00
23,14746.5068359375,14748.84375,14742.9404296875,14743.75,14743.75,25863663,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:16:00-04:00
24,14742.81640625,14744.3876953125,14739.0791015625,14744.3876953125,14744.3876953125,24125027,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-02 10:18:00-04:00
25,14745.8369140625,14746.5908203125,14741.7734375,14741.7734375,14741.7734375,21012053,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2021-08-02 10:20:00-04:00
26,14742.8193359375,14744.240234375,14737.1982421875,14739.4453125,14739.4453125,19968202,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:22:00-04:00
27,14739.517578125,14741.4345703125,14734.166015625,14740.046875,14740.046875,20980137,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-02 10:24:00-04:00
28,14739.5166015625,14740.2275390625,14737.7294921875,14740.2275390625,14740.2275390625,19240860,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-02 10:26:00-04:00
29,14739.58203125,14739.58203125,14733.1044921875,14735.9248046875,14735.9248046875,21884984,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:28:00-04:00
30,14737.498046875,14743.896484375,14735.462890625,14735.462890625,14735.462890625,16754022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:30:00-04:00
31,14736.38671875,14736.38671875,14730.673828125,14733.59765625,14733.59765625,19104265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-02 10:32:00-04:00
32,14733.1845703125,14733.7666015625,14729.4228515625,14733.7666015625,14733.7666015625,18992779,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2021-08-02 10:34:00-04:00
