,Assets,Industry,Returns,Volatility,Sharpe,Return over drawdown,Weights,Level
0,"['SPTI Adj Close', 'SMH Adj Close', 'GLDM Adj Close', 'VOX Adj Close']","['Government', 'Semiconductors', 'Precious Metals Gold', 'Communication Services']",0.15,0.097834802,1.533196744,0.465698173,"[0.3999999999980007, 0.18831215867922782, 0.3497268424091962, 0.061960998913638335]",aggressive
0,"['GLDM Adj Close', 'DVY Adj Close', 'SPTS Adj Close', 'ARKG Adj Close']","['Precious Metals Gold', 'Total', 'Government', 'Total']",0.155522119,0.106069329,1.466230823,0.344750431,"[0.38149897454956266, 0.027780832563246358, 0.3999999999999874, 0.19072019288720357]",aggressive
0,"['IXN Adj Close', 'TLT Adj Close', 'SCHO Adj Close', 'MGK Adj Close']","['Information Technology', 'Government', 'Government', 'Total']",0.15,0.103471378,1.449676264,0.304794994,"[0.25554435970016565, 0.39999999999999997, 0.2114256668826398, 0.1330299734172013]",aggressive
0,"['XLP Adj Close', 'SGOL Adj Close', 'ARKG Adj Close', 'SOXX Adj Close']","['Consumer Staples', 'Precious Metals Gold', 'Total', 'Semiconductors']",0.259785949,0.18566239,1.399238416,0.275543493,"[0.200349093454175, 0.40000000000000036, 0.25029671338139775, 0.14935419316442694]",aggressive
0,"['VUG Adj Close', 'QQQ Adj Close', 'VV Adj Close', 'TLT Adj Close']","['Total', 'Total', 'Total', 'Government']",0.198660394,0.145430589,1.36601519,0.250512232,"[0.1773609635638383, 0.3999995008549549, 0.022639535581206745, 0.4]",aggressive
0,"['ARKG Adj Close', 'OEF Adj Close', 'STIP Adj Close', 'JPST Adj Close']","['Total', 'Total', 'Government', 'Broad']",0.15,0.109808497,1.366014513,0.232166767,"[0.24007890215824426, 0.044154109816091816, 0.399999999974922, 0.3157669880490819]",aggressive
0,"['ARKG Adj Close', 'MINT Adj Close', 'GVI Adj Close', 'NOBL Adj Close']","['Total', 'Broad', 'Broad', 'Total']",0.15,0.107006467,1.401784434,0.218290337,"[0.23592224259104264, 0.29949596775823367, 0.4000000000000004, 0.06458178965072335]",aggressive
0,"['VGSH Adj Close', 'ARKG Adj Close', 'ARKQ Adj Close', 'VIG Adj Close']","['Government', 'Total', 'Robotics & AI', 'Total']",0.2534061,0.192994556,1.313022013,0.193670037,"[0.3999999999999998, 0.24707441797611476, 0.3066328836222744, 0.04629269840161094]",aggressive
0,"['FLOT Adj Close', 'FDN Adj Close', 'SPTS Adj Close', 'QCLN Adj Close']","['Broad', 'Internet', 'Government', 'Renewable Energy']",0.232117605,0.170300291,1.362990068,2.85E-08,"[0.1313102581176201, 0.06868849008080913, 0.4000007362472762, 0.40000051555145544]",aggressive
